config_name,shift_type,dataset,backbone,setup,test_accuracy,augrc_mean,filename
Corruption_octmnist_resnet18_DO,Corruption,octmnist,resnet18,DO,0.639,0.13258749999999997,uq_benchmark_octmnist_resnet18_DO_corrupt_severity3_test_20260116_171532.json
Corruption_octmnist_resnet18_Baseline,Corruption,octmnist,resnet18,S,0.664,0.11994900000000006,uq_benchmark_octmnist_resnet18_corrupt_severity3_test_20260116_155326.json
Corruption_octmnist_vit_b_16_DA,Corruption,octmnist,vit_b_16,DA,0.822,0.04739699999999999,uq_benchmark_octmnist_vit_b_16_DA_corrupt_severity3_test_20260116_210719.json
Corruption_octmnist_vit_b_16_DADO,Corruption,octmnist,vit_b_16,DADO,0.846,0.038449,uq_benchmark_octmnist_vit_b_16_DADO_corrupt_severity3_test_20260117_001903.json
Corruption_octmnist_vit_b_16_DO,Corruption,octmnist,vit_b_16,DO,0.755,0.0791615,uq_benchmark_octmnist_vit_b_16_DO_corrupt_severity3_test_20260116_224823.json
Corruption_octmnist_vit_b_16_Baseline,Corruption,octmnist,vit_b_16,S,0.725,0.08891850000000001,uq_benchmark_octmnist_vit_b_16_corrupt_severity3_test_20260116_193320.json
Corruption_organamnist_resnet18_DA,Corruption,organamnist,resnet18,DA,0.9161885476431545,0.00929973820821671,uq_benchmark_organamnist_resnet18_DA_corrupt_severity3_test_20260115_010921.json
Corruption_organamnist_resnet18_DADO,Corruption,organamnist,resnet18,DADO,0.8987512656091798,0.011922519083597507,uq_benchmark_organamnist_resnet18_DADO_corrupt_severity3_test_20260115_033552.json
Corruption_organamnist_resnet18_DO,Corruption,organamnist,resnet18,DO,0.7697153785577681,0.05511075011326111,uq_benchmark_organamnist_resnet18_DO_corrupt_severity3_test_20260115_023857.json
Corruption_organamnist_resnet18_Baseline,Corruption,organamnist,resnet18,S,0.8048149398132524,0.04086085862839978,uq_benchmark_organamnist_resnet18_corrupt_severity3_test_20260115_003402.json
Corruption_organamnist_vit_b_16_DA,Corruption,organamnist,vit_b_16,DA,0.9675441556980537,0.001937846494941089,uq_benchmark_organamnist_vit_b_16_DA_corrupt_severity3_test_20260115_092208.json
Corruption_organamnist_vit_b_16_DADO,Corruption,organamnist,vit_b_16,DADO,0.966700416244797,0.0023223163557907402,uq_benchmark_organamnist_vit_b_16_DADO_corrupt_severity3_test_20260115_135316.json
Corruption_organamnist_vit_b_16_DO,Corruption,organamnist,vit_b_16,DO,0.9462256721790978,0.004455382208498626,uq_benchmark_organamnist_vit_b_16_DO_corrupt_severity3_test_20260115_122929.json
Corruption_organamnist_vit_b_16_Baseline,Corruption,organamnist,vit_b_16,S,0.950163122960963,0.004071382199183867,uq_benchmark_organamnist_vit_b_16_corrupt_severity3_test_20260115_065757.json
Corruption_pathmnist_resnet18_DA,Corruption,pathmnist,resnet18,DA,0.9168523676880223,0.013156157618268027,uq_benchmark_pathmnist_resnet18_DA_corrupt_severity3_test_20260202_213135.json
Corruption_pathmnist_resnet18_DADO,Corruption,pathmnist,resnet18,DADO,0.905849582172702,0.015228059217417622,uq_benchmark_pathmnist_resnet18_DADO_corrupt_severity3_test_20260203_005748.json
Corruption_pathmnist_resnet18_DO,Corruption,pathmnist,resnet18,DO,0.6651810584958218,0.1119236931743236,uq_benchmark_pathmnist_resnet18_DO_corrupt_severity3_test_20260202_231621.json
Corruption_pathmnist_resnet18_Baseline,Corruption,pathmnist,resnet18,S,0.7025069637883008,0.09303551338056039,uq_benchmark_pathmnist_resnet18_corrupt_severity3_test_20260202_195056.json
Corruption_pathmnist_vit_b_16_DA,Corruption,pathmnist,vit_b_16,DA,0.9344011142061281,0.007483191859156897,uq_benchmark_pathmnist_vit_b_16_DA_corrupt_severity3_test_20260203_061642.json
Corruption_pathmnist_vit_b_16_DADO,Corruption,pathmnist,vit_b_16,DADO,0.9417827298050139,0.007541123206679029,uq_benchmark_pathmnist_vit_b_16_DADO_corrupt_severity3_test_20260203_133056.json
Corruption_pathmnist_vit_b_16_DO,Corruption,pathmnist,vit_b_16,DO,0.9075208913649025,0.013338156904431204,uq_benchmark_pathmnist_vit_b_16_DO_corrupt_severity3_test_20260203_100335.json
Corruption_pathmnist_vit_b_16_Baseline,Corruption,pathmnist,vit_b_16,S,0.9317548746518106,0.00895401571992768,uq_benchmark_pathmnist_vit_b_16_corrupt_severity3_test_20260203_033342.json
Corruption_pneumoniamnist_resnet18_DA,Corruption,pneumoniamnist,resnet18,DA,0.8125,0.044310640614727156,uq_benchmark_pneumoniamnist_resnet18_DA_corrupt_severity3_test_20260117_094845.json
Corruption_pneumoniamnist_resnet18_DADO,Corruption,pneumoniamnist,resnet18,DADO,0.8317307692307693,0.03993954429651547,uq_benchmark_pneumoniamnist_resnet18_DADO_corrupt_severity3_test_20260117_100541.json
Corruption_pneumoniamnist_resnet18_DO,Corruption,pneumoniamnist,resnet18,DO,0.7836538461538461,0.050107094428007884,uq_benchmark_pneumoniamnist_resnet18_DO_corrupt_severity3_test_20260117_095639.json
Corruption_pneumoniamnist_resnet18_Baseline,Corruption,pneumoniamnist,resnet18,S,0.780448717948718,0.05182265984549638,uq_benchmark_pneumoniamnist_resnet18_corrupt_severity3_test_20260117_094033.json
Corruption_pneumoniamnist_vit_b_16_DA,Corruption,pneumoniamnist,vit_b_16,DA,0.9102564102564102,0.018676035502958585,uq_benchmark_pneumoniamnist_vit_b_16_DA_corrupt_severity3_test_20260117_102947.json
Corruption_pneumoniamnist_vit_b_16_DADO,Corruption,pneumoniamnist,vit_b_16,DADO,0.9150641025641025,0.016764001890203824,uq_benchmark_pneumoniamnist_vit_b_16_DADO_corrupt_severity3_test_20260117_105740.json
Corruption_pneumoniamnist_vit_b_16_DO,Corruption,pneumoniamnist,vit_b_16,DO,0.8685897435897436,0.030402490138067062,uq_benchmark_pneumoniamnist_vit_b_16_DO_corrupt_severity3_test_20260117_104444.json
Corruption_pneumoniamnist_vit_b_16_Baseline,Corruption,pneumoniamnist,vit_b_16,S,0.8349358974358975,0.038732484796186725,uq_benchmark_pneumoniamnist_vit_b_16_corrupt_severity3_test_20260117_101813.json
Corruption_tissuemnist_resnet18_DA,Corruption,tissuemnist,resnet18,DA,0.5629230118443317,0.1512353630118014,uq_benchmark_tissuemnist_resnet18_DA_corrupt_severity3_test_20260115_212114.json
Corruption_tissuemnist_resnet18_DADO,Corruption,tissuemnist,resnet18,DADO,0.542153130287648,0.1746505967347923,uq_benchmark_tissuemnist_resnet18_DADO_corrupt_severity3_test_20260116_072733.json
Corruption_tissuemnist_resnet18_DO,Corruption,tissuemnist,resnet18,DO,0.4729906937394247,0.21195508706635918,uq_benchmark_tissuemnist_resnet18_DO_corrupt_severity3_test_20260116_025419.json
